urn,school_name,la_code,la_name,school_type,phase,address_1,address_2,address_3,town,county,postcode,phone,head_title,head_first_name,head_last_name,website,trust_code,trust_name,pupil_count,headteacher
101222,Valence Primary School,301,Barking and Dagenham,Community school,Primary,Bonham Road,,,Dagenham,Essex,RM8 3AR,2030069888.0,Mr,Richard,November,www.valenceprimaryschool.com,,,895.0,Mr Richard November
101223,Village Infants' School,301,Barking and Dagenham,Community school,Primary,Ford Road,,,Dagenham,Essex,RM10 9JS,2082706589.0,,Yolanda,Cattle,www.villageinfants.com/,,,294.0,Yolanda Cattle
101224,Rose Lane Primary School,301,Barking and Dagenham,Community school,Primary,Rose Lane,Chadwell Heath,,Romford,Essex,RM6 5NJ,2082704438.0,Ms,Jacqueline,Barnard,www.roselaneprimary.org.uk,,,615.0,Ms Jacqueline Barnard
101226,William Bellamy Primary School,301,Barking and Dagenham,Community school,Primary,Frizlands Lane,East,,Dagenham,Essex,RM10 7HX,2082706506.0,Mrs,Gillian,Massar,www.williambellamy.co.uk,,,879.0,Mrs Gillian Massar
101227,Parsloes Primary School,301,Barking and Dagenham,Community school,Primary,Spurling Road,,,Dagenham,Essex,RM9 5RH,2082704925.0,Mrs,Lauren,Pearce,www.parsloesprimary.co.uk,,,408.0,Mrs Lauren Pearce
101228,Five Elms Primary School,301,Barking and Dagenham,Community school,Primary,Wood Lane,,Five Elms Primary School,Dagenham,Essex,RM9 5TB,2082704909.0,Mrs,Sian,Farrelly,www.five-elms.bardag.dbprimary.com/,,,459.0,Mrs Sian Farrelly
101229,Henry Green Primary School,301,Barking and Dagenham,Community school,Primary,Green Lane,,,Dagenham,Essex,RM8 1UR,2082704466.0,,Harriet,Daley,www.henrygreen.org.uk/,,,467.0,Harriet Daley
101230,Roding Primary School,301,Barking and Dagenham,Community school,Primary,Hewett Road,,,Dagenham,Essex,RM8 2XS,2082706640.0,Mr,A,Robbins,https://www.rodingprimaryschool.co.uk/,,,987.0,Mr A Robbins
101231,Becontree Primary School,301,Barking and Dagenham,Community school,Primary,Stevens Road,,,Dagenham,Essex,RM8 2QR,2082704900.0,Mrs,Marie,Ziane,www.becontreeprimaryschool.com,,,465.0,Mrs Marie Ziane
101232,John Perry Primary School,301,Barking and Dagenham,Community school,Primary,Charles Road,,,Dagenham,Essex,RM10 8UR,2082704622.0,Mr,Wayne,Pedro,www.johnperryprimary.co.uk/,,,618.0,Mr Wayne Pedro
101234,William Ford CofE Junior School,301,Barking and Dagenham,Voluntary aided school,Primary,Ford Road,,,Dagenham,Essex,RM10 9JS,2082706582.0,Mr,David,Huntingford,www.williamfordschool.co.uk/,,,321.0,Mr David Huntingford
101237,St Peter's Catholic Primary School,301,Barking and Dagenham,Voluntary aided school,Primary,Goresbrook Road,,St. Peters Rc School,Dagenham,Essex,RM9 6UU,2082706524.0,Mrs,Clare,Scott,www.st-peter.bardaglea.org.uk/,,,374.0,Mrs Clare Scott
101241,"Barking Abbey School, A Specialist Sports and Humanities College",301,Barking and Dagenham,Community school,Secondary,Sandringham Road,,,Barking,Essex,IG11 9AG,2039677030.0,Mr,Tony,Roe,http://www.barkingabbeyschool.co.uk/,,,2336.0,Mr Tony Roe
101243,Eastbrook School,301,Barking and Dagenham,Community school,All-through,Dagenham Road,,,Dagenham,Essex,RM10 7UR,2037803609.0,Mr,Tony,Roe,www.eastbrookschool.org,,,1198.0,Mr Tony Roe
101244,Eastbury Community School,301,Barking and Dagenham,Community school,All-through,Hulse Avenue,,,Barking,Essex,IG11 9UW,2085074500.0,Ms,Sharon,Gladman,www.eastbury.bardaglea.org.uk,,,2134.0,Ms Sharon Gladman
101245,Robert Clack School,301,Barking and Dagenham,Community school,All-through,Gosfield Road,,,Dagenham,Essex,RM8 1JU,2082704200.0,Mr,R V A,Taylor,http://www.robertclack.co.uk/,,,3129.0,Mr R V A Taylor
101247,All Saints Catholic School and Technology College,301,Barking and Dagenham,Voluntary aided school,Secondary,Terling Road,Wood Lane,,Dagenham,Essex,RM8 1JT,2082704242.0,Ms,Clare,Cantle,http://www.allsaintsschool.co.uk/,,,1353.0,Ms Clare Cantle
101251,Brookhill Nursery School,302,Barnet,Local authority nursery school,Nursery,Brookhill Road,East Barnet,,Barnet,Hertfordshire,EN4 8SD,2084490601.0,Mrs,Kelly,Brooker,,,,123.0,Mrs Kelly Brooker
101252,Hampden Way Nursery School,302,Barnet,Local authority nursery school,Nursery,Hampden Way,Southgate,,London,,N14 5DJ,2084495466.0,Mrs,Kelly,Brooker,https://hampdenway.barnet.sch.uk/,,,95.0,Mrs Kelly Brooker
101253,Moss Hall Nursery School,302,Barnet,Local authority nursery school,Nursery,189 Nether Street,Finchley,,London,,N3 1NR,2084452518.0,,Subpreet,Deu,http://www.mosshallnursery.co.uk/,,,104.0,Subpreet Deu
101254,St Margaret's Nursery School,302,Barnet,Local authority nursery school,Nursery,Margaret Road,New Barnet,,Barnet,Hertfordshire,EN4 9NT,2084495466.0,Mrs,Kelly,Brooker,www.st-margarets.barnet.sch.uk,,,92.0,Mrs Kelly Brooker
101255,Pavilion Study Centre,302,Barnet,Pupil referral unit,Not applicable,58b Chandos Avenue,Whetstone,"Pavilion Study Centre, , 58b",London,,N20 9DX,2084461533.0,Ms,Joanne,Kelly,www.the-pavilion.co.uk,,,48.0,Ms Joanne Kelly
101258,Barnfield Primary School,302,Barnet,Community school,Primary,Silkstream Road,,,Edgware,,HA8 0DA,2089526026.0,Mrs,Catherine,Goodwin,www.barnfieldschool.co.uk/,,,462.0,Mrs Catherine Goodwin
101262,Brookland Junior School,302,Barnet,Community school,Primary,Hill Top,Hampstead Garden Suburb,,London,,NW11 6EJ,2083466937.0,Ms,J,Aylen,http://www.brooklandjuniorschool.co.uk/,,,353.0,Ms J Aylen
101263,Brookland Infant and Nursery School,302,Barnet,Community school,Primary,Hill Top,Hampstead Garden Suburb,Hill Top,Hampstead Garden Suburb,,NW11 6EJ,2083466824.0,Mrs,Brenda,McCafferty,www.brooklandinfant.co.uk,,,304.0,Mrs Brenda McCafferty
101264,Brunswick Park Primary and Nursery School,302,Barnet,Community school,Primary,Osidge Lane,Southgate,,London,,N14 5DU,2083683468.0,Mr,Andy,Griffiths,www.brunswickpark.barnet.sch.uk/,,,447.0,Mr Andy Griffiths
101266,Church Hill School,302,Barnet,Community school,Primary,Burlington Rise,East Barnet,,Barnet,Hertfordshire,EN4 8NN,2083683431.0,Mr,David Andrew,Griffiths,www.churchhill.barnet.sch.uk/,,,200.0,Mr David Andrew Griffiths
101269,Colindale Primary School,302,Barnet,Community school,Primary,Clovelly Avenue,Colindale,,London,,NW9 6DT,2082058706.0,Mrs,Jane,Palmer,www.colindale.barnet.sch.uk/,,,723.0,Mrs Jane Palmer
101270,Coppetts Wood Primary School,302,Barnet,Community school,Primary,Coppetts Road,Friern Barnet,,London,,N10 1JS,2088830248.0,Ms,Anna,Lippa,www.coppettswoodprimary.org.uk/,,,227.0,Ms Anna Lippa
101271,Courtland School,302,Barnet,Community school,Primary,Courtland Avenue,Mill Hill,,London,,NW7 3BG,2089593274.0,Miss,Lisa,Walker,www.courtlandschool.org,,,207.0,Miss Lisa Walker
101272,Cromer Road Primary School,302,Barnet,Community school,Primary,Cromer Road,New Barnet,,Barnet,Hertfordshire,EN5 5HT,2084493492.0,Mrs,Dana,O'Donnell,www.cromerroad.com,,,404.0,Mrs Dana O'Donnell
101274,Deansbrook Infant School,302,Barnet,Community school,Primary,Hale Drive,Mill Hill,,London,,NW7 3ED,2089592152.0,Mrs,Carole,Catley,www.deansbrookinfants.co.uk,,,218.0,Mrs Carole Catley
101277,Edgware Primary School,302,Barnet,Community school,Primary,Heming Road,,,Edgware,,HA8 9AB,2089521472.0,Mrs,Alison,Jacob,www.edgwareprimary.co.uk/,,,448.0,Mrs Alison Jacob
101278,Fairway Primary School and Children's Centre,302,Barnet,Community school,Primary,The Fairway,,,London,,NW7 3HS,2083595380.0,Mr,Michael,Reilly,www.fairway.barnet.sch.uk,,,270.0,Mr Michael Reilly
101279,Foulds School,302,Barnet,Community school,Primary,Byng Road,,,Barnet,Hertfordshire,EN5 4NR,2084492714.0,Miss,Kim,Sanett,www.fouldsp.org,,,313.0,Miss Kim Sanett
101280,Frith Manor Primary School,302,Barnet,Community school,Primary,Lullington Garth,Woodside Park,,London,,N12 7BN,2083462388.0,Ms,Wendy,Wayland,www.frithmanorschool.com/,,,509.0,Ms Wendy Wayland
101281,Garden Suburb Junior School,302,Barnet,Community school,Primary,Childs Way,,"Garden Suburb Junior School, Childs Way",London,,NW11 6XU,2084553269.0,Mrs,Eileen,Bhavsar,www.gardensuburbjunior.co.uk/,,,346.0,Mrs Eileen Bhavsar
101282,Garden Suburb Infant School,302,Barnet,Community school,Primary,Childs Way,Hampstead Garden Suburb,,London,,NW11 6XU,2084558198.0,Miss,Sarah Louise,Sands,www.gardensuburbschools.co.uk,,,187.0,Miss Sarah Louise Sands
101283,Goldbeaters Primary School,302,Barnet,Community school,Primary,Thirleby Road,Burnt Oak,,Edgware,,HA8 0HA,2089596033.0,Mr,Chris,Flathers,https://www.goldbeaters.org.uk/,,,469.0,Mr Chris Flathers
101285,Hollickwood Primary School,302,Barnet,Foundation school,Primary,Sydney Road,Muswell Hill,,London,,N10 2NL,2088836880.0,Mrs,Joanne,Kennedy,www.hollickwood.barnet.sch.uk/,,,196.0,Mrs Joanne Kennedy
101286,Holly Park Primary School,302,Barnet,Community school,Primary,Bellevue Road,Friern Barnet,,London,,N11 3HG,2083681434.0,Mrs,Ann,Pelham,www.hollyparkschool.co.uk/,,,424.0,Mrs Ann Pelham
101289,Livingstone Primary and Nursery School,302,Barnet,Community school,Primary,Baring Road,New Barnet,,Barnet,Hertfordshire,EN4 9BU,2084492592.0,Mrs,Giovanna,Phelan,livingstoneprimaryschool.org,,,249.0,Mrs Giovanna Phelan
101290,Manorside Primary School,302,Barnet,Community school,Primary,Squires Lane,Finchley,,London,,N3 2AB,2083464847.0,Mr,Andy,Griffiths,https://slf.greenhousecms.co.uk/,,,236.0,Mr Andy Griffiths
101293,Monkfrith Primary School,302,Barnet,Community school,Primary,Knoll Drive,,,London,,N14 5NG,2083686020.0,Ms,Jude,Deasey,www.monkfrithschool.co.uk,,,415.0,Ms Jude Deasey
101294,Moss Hall Junior School,302,Barnet,Community school,Primary,187 Nether Street,Finchley,Moss Hall Grove,London,,N3 1NR,2084457965.0,Ms,Jennifer,Brodkin,www.mosshall.school,,,468.0,Ms Jennifer Brodkin
101295,Moss Hall Infant School,302,Barnet,Community school,Primary,Moss Hall Grove,Finchley,,London,,N12 8PE,2084459735.0,,Jennifer,Brodkin,www.mosshall.school,,,307.0,Jennifer Brodkin
101296,Northside Primary School,302,Barnet,Community school,Primary,2 Albert Street,North Finchley,,London,,N12 8JP,2084454730.0,Mrs,Elizabeth,Longworth,www.northsideschool.co.uk/,,,263.0,Mrs Elizabeth Longworth
101298,Woodridge Primary School,302,Barnet,Community school,Primary,Southover,,,London,,N12 7HE,2084455478.0,Mr,Colin Dowland/,Ms Laura Monro,http://www.woodridgeprimaryschool.com,,,210.0,Mr Colin Dowland/ Ms Laura Monro
101299,Tudor Primary School,302,Barnet,Community school,Primary,Queen's Road,Finchley,,London,,N3 2AG,2083466010.0,Mr,Andy,Griffiths,https://slf.greenhousecms.co.uk/,,,196.0,Mr Andy Griffiths
101301,Underhill School,302,Barnet,Community school,Primary,Mays Lane,,,Barnet,Hertfordshire,EN5 2LZ,2084492423.0,Ms,Jennie Reed and,Nicola Hayles,www.underhillschool.co.uk,,,462.0,Ms Jennie Reed and Nicola Hayles
101304,Whitings Hill Primary School,302,Barnet,Community school,Primary,Whitings Road,,,Barnet,Hertfordshire,EN5 2QY,2083595360.0,Mrs,Deepa,Samani,www.whitingshillprimaryschool.co.uk,,,471.0,Mrs Deepa Samani
101309,Chalgrove Primary School,302,Barnet,Community school,Primary,Chalgrove Gardens,Finchley,,London,,N3 3PL,2083491798.0,Mrs,Jennifer,Gaffney,www.chalgroveprimary.org.uk,,,216.0,Mrs Jennifer Gaffney
101311,Sunnyfields Primary School,302,Barnet,Community school,Primary,Hatchcroft,Off Greyhound Hill,Hendon,London,,NW4 4JH,2082033113.0,Ms,Lisa,Meyer,www.sunnyfieldsprimary.co.uk,,,253.0,Ms Lisa Meyer
101312,Queenswell Infant & Nursery School,302,Barnet,Community school,Primary,Sweets Way,Whetstone,"Sweets Way, N20 0nq",London,,N20 0NQ,2084450524.0,Mrs,Elizabeth,Longworth,https://www.queenswellfederation.co.uk/,,,193.0,Mrs Elizabeth Longworth
101313,Queenswell Junior School,302,Barnet,Community school,Primary,Sweets Way,Whetstone,,London,,N20 0NQ,2084450524.0,Mrs,Elizabeth,Longworth,www.queenswellfederation.co.uk/,,,265.0,Mrs Elizabeth Longworth
101314,Danegrove Primary School,302,Barnet,Community school,Primary,Windsor Drive,East Barnet,,Barnet,Hertfordshire,EN4 8UD,2084494024.0,Mrs,Lorita,Oliver,www.danegroveschool.co.uk/,,,616.0,Mrs Lorita Oliver
101315,All Saints' CofE Primary School NW2,302,Barnet,Voluntary aided school,Primary,Cricklewood Lane,Childs Hill,,London,,NW2 2TH,2084559091.0,Ms,Holly,Skinner,www.allsaintsnw2.barnet.sch.uk,,,175.0,Ms Holly Skinner
101316,Christ Church Primary School,302,Barnet,Voluntary aided school,Primary,Byng Road,,Christ Church Primary School,Barnet,Hertfordshire,EN5 4NS,2084402198.0,Mrs,Sarah,Harry,www.christchurch.barnet.sch.uk,,,214.0,Mrs Sarah Harry
101317,Holy Trinity CofE Primary School,302,Barnet,Voluntary aided school,Primary,Eagans Close,,East Finchley,London,,N2 8GA,2088831824.0,Mr,Stefan,Roos,www.holytrinityceschool.org,,,201.0,Mr Stefan Roos
101318,Monken Hadley CofE Primary School,302,Barnet,Voluntary aided school,Primary,Camlet Way,Monken Hadley,,Barnet,Hertfordshire,EN4 0NJ,2084490989.0,Ms,Julie,Eyres,www.monkenhadley.barnet.sch.uk/,,,149.0,Ms Julie Eyres
101319,St John's CofE Junior Mixed and Infant School,302,Barnet,Voluntary aided school,Primary,Crescent Road,Friern Barnet,,London,,N11 3LB,2083681154.0,Ms,Immacolata,Dobie,www.stjohnsprimaryn11.co.uk,,,232.0,Ms Immacolata Dobie
101321,St John's CofE Primary and Nursery School,302,Barnet,Voluntary aided school,Primary,Swan Lane,Whetstone,,London,,N20 0PL,2084454693.0,Mr,Curtis,Sweetingham,www.stjohnsn20.barnet.sch.uk,,,248.0,Mr Curtis Sweetingham
101323,St Mary's CofE Primary School,302,Barnet,Voluntary aided school,Primary,Dollis Park,Finchley,,London,,N3 1BT,2083430866.0,Mr,Stefan,Roos,www.stmarysfinchley.co.uk,,,434.0,Mr Stefan Roos
101324,"St Mary's CofE Primary School, East Barnet",302,Barnet,Voluntary aided school,Primary,Littlegrove,East Barnet,,Barnet,Hertfordshire,EN4 8SR,2084495856.0,Mrs,Maria,Constantinou,www.stmarysen4-barnet.co.uk,,,217.0,Mrs Maria Constantinou
101325,St Paul's CofE Primary School N11,302,Barnet,Voluntary aided school,Primary,The Avenue,Friern Barnet,,London,,N11 1NQ,2083684839.0,Ms,Holly,Clifford,www.stpaulsn11.org.uk/,,,216.0,Ms Holly Clifford
101326,St Paul's CofE Primary School NW7,302,Barnet,Voluntary aided school,Primary,The Ridgeway,Mill Hill,,London,Middlesex,NW7 1QU,2089593412.0,Mr,Anthony,David,www.stpaulsnw7.barnet.sch.uk/,,,206.0,Mr Anthony David
101327,"St Andrew's CofE Voluntary Aided Primary School, Totteridge",302,Barnet,Voluntary aided school,Primary,The Green,Totteridge,,London,,N20 8NX,2084456157.0,Ms,Jo,Devine.,www.standrewstotteridge.co.uk,,,195.0,Ms Jo Devine.
101328,Trent CofE Primary School,302,Barnet,Voluntary aided school,Primary,Church Way,Off Chalk Lane,Cockfosters,Barnet,Hertfordshire,EN4 9JH,2084496875.0,Mrs,Chrissy,Vassiliou,www.trentprimary.com,,,208.0,Mrs Chrissy Vassiliou
101329,All Saints' CofE Nursery and Primary School N20,302,Barnet,Voluntary aided school,Primary,116 Oakleigh Road North,Whetstone,116 Oakleigh Road North,London,,N20 9EZ,2084452951.0,Mrs,Breda,McKelvey,www.allsaintsn20.barnet.sch.uk,,,238.0,Mrs Breda McKelvey
101330,The Annunciation Catholic Infant School,302,Barnet,Voluntary aided school,Primary,Thirleby Road,,,Edgware,,HA8 0HQ,2089592325.0,Miss,J,O'Prey,http://www.theannunciationschools.co.uk/,,,181.0,Miss J O'Prey
101331,Our Lady of Lourdes RC School,302,Barnet,Voluntary aided school,Primary,Bow Lane,Finchley,,London,,N12 0JP,2083461681.0,Miss,Barbara,Costa,www.olol.barnetschool.org.uk,,,206.0,Miss Barbara Costa
101332,St Agnes' Catholic Primary School,302,Barnet,Voluntary aided school,Primary,Thorverton Road,Cricklewood,,London,,NW2 1RG,2084524565.0,Mrs,Susan,O'Reilly,www.stagnesnw2.co.uk,,,431.0,Mrs Susan O'Reilly
101333,St Catherine's RC School,302,Barnet,Voluntary aided school,Primary,Vale Drive,,,Barnet,Hertfordshire,EN5 2ED,2084404946.0,Miss,Maureen,Kelly,www.st-catherines.barnet.sch.uk/,,,480.0,Miss Maureen Kelly
101334,St Vincent's Catholic Primary School,302,Barnet,Voluntary aided school,Primary,The Ridgeway,Mill Hill,,London,,NW7 1EJ,2089593417.0,Miss,Marie,Tuohy,https://stvincents.school,,,296.0,Miss Marie Tuohy
101335,St Theresa's Catholic Primary School,302,Barnet,Voluntary aided school,Primary,East End Road,Finchley,,London,,N3 2TD,2083468826.0,Miss,Barbara,Costa,www.st-theresas.barnet.sch.uk/,,,158.0,Miss Barbara Costa
101337,St Joseph's Catholic Primary School,302,Barnet,Voluntary aided school,Primary,Watford Way,Hendon,,London,,NW4 4TY,2082025229.0,Dr,James,Lane,www.stjps.org,,,458.0,Dr James Lane
101338,Sacred Heart Roman Catholic Primary School,302,Barnet,Voluntary aided school,Primary,2 Oakleigh Park South,Whetstone,,London,,N20 9JU,2084453854.0,Mrs,Geraldine,Porter,www.sacredheartprimary.co.uk/,,,403.0,Mrs Geraldine Porter
101339,Blessed Dominic Catholic Primary School,302,Barnet,Voluntary aided school,Primary,Great Strand,,,London,,NW9 5PE,2082053790.0,Mrs,Jennifer,Hourihan,www.blesseddominic.barnet.sch.uk/,,,448.0,Mrs Jennifer Hourihan
101340,Rosh Pinah Primary School,302,Barnet,Voluntary aided school,Primary,Glengall Road,,,Edgware,,HA8 8TE,2089588599.0,Ms,Jill,Howson,www.rpps.org.uk,,,393.0,Ms Jill Howson
101341,Menorah Primary School for Girls,302,Barnet,Voluntary aided school,Primary,The Wohl Campus,1-3 the Drive,Golders Green,London,,NW11 9SP,2084581276.0,Rabbi,Z,Zimmels,www.menorahprimaryschool.org.uk,,,214.0,Rabbi Z Zimmels
101342,The Annunciation RC Junior School,302,Barnet,Voluntary aided school,Primary,The Meads,Burnt Oak,,Edgware,,HA8 9HQ,2089060723.0,Miss,Jennifer,O'Prey,http://www.theannunciationschools.co.uk/,,,176.0,Miss Jennifer O'Prey
101345,Friern Barnet School,302,Barnet,Community school,Secondary,Hemington Avenue,Friern Barnet,,London,,N11 3LS,2083682777.0,Mr,Simon,Horne,http://www.friern.barnet.sch.uk/,,,641.0,Mr Simon Horne
101361,St Michael's Catholic Grammar School,302,Barnet,Voluntary aided school,Secondary,Nether Street,North Finchley,,London,,N12 7NJ,2084462256.0,Mr,Michael,Stimpson,http://www.st-michaels.barnet.sch.uk/,,,891.0,Mr Michael Stimpson
101362,Finchley Catholic High School,302,Barnet,Voluntary aided school,Secondary,Woodside Lane,Finchley,,London,,N12 8TA,2084450105.0,Mrs,Niamh,Arnull,www.finchleycatholic.org.uk,,,1192.0,Mrs Niamh Arnull
101364,St James' Catholic High School,302,Barnet,Voluntary aided school,Secondary,Great Strand,Colindale,,London,,NW9 5PE,2083582800.0,Mr,Anthony,Ellul,http://www.st-james.barnet.sch.uk,,,1254.0,Mr Anthony Ellul
101367,Mill Hill School Foundation,302,Barnet,Other independent school,Not applicable,The Ridgeway,Mill Hill Village,,London,,NW7 1QS,2089591176.0,Mr,Antony,Spencer,,,,1767.0,Mr Antony Spencer
101368,Hendon Preparatory School,302,Barnet,Other independent school,Not applicable,20 Tenterden Grove,Hendon,London,,,NW4 1TD,2082037727.0,Mr,Matthew,Foley,www.hendonprep.co.uk,,,133.0,Mr Matthew Foley
101369,The King Alfred School,302,Barnet,Other independent school,Not applicable,149 North End Road,,,London,,NW11 7HY,2084575200.0,Mr,Robert,Lobatto,,,,705.0,Mr Robert Lobatto
101370,Lyonsdown School,302,Barnet,Other independent school,Not applicable,3 Richmond Road,New Barnet,,,,EN5 1SA,2084490225.0,Mrs,Rittu,Hall,www.lyonsdownschool.co.uk,,,154.0,Mrs Rittu Hall
101374,Mount House School,302,Barnet,Other independent school,Not applicable,Camlet Way,Hadley,,Barnet,Hertfordshire,EN4 0NJ,2084496889.0,Mr,Jonathan,Cooper,www.mounthouse.org.uk,,,244.0,Mr Jonathan Cooper
101375,Annemount School,302,Barnet,Other independent school,Not applicable,18 Holne Chase,Hampstead Garden Suburb,,London,,N2 0QN,2084552132.0,Mrs,Geraldine,Maidment,www.annemount.co.uk,,,76.0,Mrs Geraldine Maidment
101376,Mathilda Marks-Kennedy Jewish Primary School,302,Barnet,Voluntary aided school,Primary,68 Hale Lane,Mill Hill,,London,,NW7 3RT,2089596089.0,Mrs,Miriam,Kaye,www.mathildamarks.com/,,,218.0,Mrs Miriam Kaye
101378,Goodwyn School,302,Barnet,Other independent school,Not applicable,Hammers Lane,Mill Hill,London,London,,NW7 4DB,2089593756.0,Ms,Lisa,Woolfe,https://www.goodwyn-school.co.uk/,,,172.0,Ms Lisa Woolfe
101380,Holland House School,302,Barnet,Other independent school,Not applicable,1 Broadhurst Avenue,,,Edgware,Middlesex,HA8 8TP,2089586979.0,Mrs,Emily,Brown,www.hollandhouse.org.uk,,,141.0,Mrs Emily Brown
101381,Kerem School,302,Barnet,Other independent school,Not applicable,Norrice Lea,Hampstead Garden Suburb,,London,,N2 0RE,2084550909.0,Ms,Naomi,Simon,www.keremschool.co.uk,,,143.0,Ms Naomi Simon
101383,St Martin's School,302,Barnet,Other independent school,Not applicable,22 Goodwyn Avenue,Mill Hill,London,,,NW7 3RG,2089591965.0,Mr,Gideon,Zucker,www.stmartinsmillhill.co.uk,,,95.0,Mr Gideon Zucker
101385,Pardes House Grammar School,302,Barnet,Other independent school,Not applicable,Hendon Lane,Finchley,,London,,N3 1SA,2083494222.0,Rabbi,Yitschok,Lev,,,,285.0,Rabbi Yitschok Lev
101387,Menorah Grammar School,302,Barnet,Other independent school,Not applicable,Abbots Road,,,Edgware,Middlesex,HA8 0QS,2089069756.0,Rabbi,Yoel,Rabinowitz,www.menorahgrammar.barnet.sch.uk,,,232.0,Rabbi Yoel Rabinowitz
101388,Beth Jacob Grammar School for Girls,302,Barnet,Other independent school,Not applicable,Stratford Road,Hendon,,London,,NW4 2AT,2082034322.0,Rabbi,Mendel,Chissick,,,,337.0,Rabbi Mendel Chissick
101391,Dwight School London,302,Barnet,Other independent school,Not applicable,6 Friern Barnet Lane,,,London,,N11 3LX,208920600.0,Mr,Christopher,Beddows,www.dwightlondon.org,,,283.0,Mr Christopher Beddows
101393,Brampton College,302,Barnet,Other independent school,Not applicable,Lodge House,Lodge Road,Hendon,London,,NW4 4DQ,2082035025.0,Mr,John,Wilson,www.bramptoncollege.com,,,210.0,Mr John Wilson
101395,Northway School,302,Barnet,Community special school,Not applicable,The Fairway,Mill Hill,,London,,NW7 3HS,2083595450.0,Miss,Danielle,Barker,www.northway.barnet.sch.uk,,,163.0,Miss Danielle Barker
101396,Oakleigh School & Acorn Assessment Centre,302,Barnet,Community special school,Not applicable,Oakleigh Road North,Whetstone,,London,,N20 0DH,2083685336.0,Mrs,C,Power,https://www.oakleighschool.co.uk/,,,178.0,Mrs C Power
101397,Mapledown School,302,Barnet,Community special school,Not applicable,Claremont Road,Cricklewood,,London,,NW2 1TR,2084554111.0,Mrs,Sandra,Chaaya,www.mapledownschool.co.uk,,,114.0,Mrs Sandra Chaaya
101402,Crook Log Primary School,303,Bexley,Community school,Primary,Crook Log,,,Bexleyheath,Kent,DA6 8EQ,2083039203.0,Mrs,Patricia,Barratt,www.crooklog.bexley.sch.uk,,,440.0,Mrs Patricia Barratt
101403,Danson Primary School,303,Bexley,Community school,Primary,Danson Lane,,,Welling,Kent,DA16 2BH,2083031858.0,Mrs,Leona,Casey,www.danson.bexley.sch.uk/,,,604.0,Mrs Leona Casey
101413,Upton Primary School,303,Bexley,Community school,Primary,Iris Avenue,,,Bexley,Kent,DA5 1HH,2083037266.0,Mrs,April,Robinson,www.upton.bexley.sch.uk,,,452.0,Mrs April Robinson
101426,Birkbeck Primary School,303,Bexley,Community school,Primary,Alma Road,,,Sidcup,Kent,DA14 4ED,2083004161.0,Mrs,Sarah,Kelley-Day,www.birkbeck.bexley.sch.uk,,,625.0,Mrs Sarah Kelley-Day
101429,Longlands Primary School,303,Bexley,Community school,Primary,Woodside Road,,,Sidcup,Kent,DA15 7JG,2083002368.0,Mr,Tom,Baines,www.longlands.bexley.sch.uk,,,303.0,Mr Tom Baines
101434,Dulverton Primary School,303,Bexley,Community school,Primary,Dulverton Road,New Eltham,,London,,SE9 3RH,2083023573.0,Mrs,Karen,Herbert,www.dulverton.education,,,442.0,Mrs Karen Herbert
101437,Parkway Primary School,303,Bexley,Community school,Primary,Alsike Road,,,Erith,Kent,DA18 4DP,2083100176.0,Mr,Robert,Celino-Stock,www.parkway.bexley.sch.uk,,,245.0,Mr Robert Celino-Stock
101451,Foster's Primary School,303,Bexley,Voluntary controlled school,Primary,Westbrooke Road,,,Welling,Kent,DA16 1PN,2082987336.0,Mr,Jason,Hemley,www.fosters.bexley.sch.uk/,,,450.0,Mr Jason Hemley
101455,St Stephen's Catholic Primary School,303,Bexley,Voluntary aided school,Primary,Ruskin Avenue,,,Welling,Kent,DA16 3QG,2083039738.0,Ms,Susan,Oram,www.st-stephens.bexley.sch.uk/,,,418.0,Ms Susan Oram
101456,Our Lady of the Rosary Catholic Primary School,303,Bexley,Voluntary aided school,Primary,Holbeach Gardens,Blackfen,,Sidcup,Kent,DA15 8QW,2088504470.0,Mrs,C,Byrne,http://www.ourlady.bexley.sch.uk,,,416.0,Mrs C Byrne
101457,St Joseph's Catholic Primary School,303,Bexley,Voluntary aided school,Primary,Old Road,Crayford,,Dartford,Kent,DA1 4DZ,1322524162.0,Mrs,Amanda,Truss,http://www.st-josephs.bexley.sch.uk,,,212.0,Mrs Amanda Truss
101458,St Fidelis Catholic Primary School,303,Bexley,Voluntary aided school,Primary,Bexley Road,,,Erith,Kent,DA8 3HQ,1322337752.0,Miss,Catherine,Quirke,http://www.st-fidelis.bexley.sch.uk,,,457.0,Miss Catherine Quirke
101460,St John Fisher Catholic Primary School,303,Bexley,Voluntary aided school,Primary,Kale Road,Thamesmead,,Erith,Kent,DA18 4BA,2083107311.0,Ms,Laura,Mc Laughlin,www.sjf.bexley.sch.uk,,,198.0,Ms Laura Mc Laughlin
101481,West Lodge School,303,Bexley,Other independent school,Not applicable,36 Station Road,Sidcup,Kent,,,DA15 7DU,2083002489.0,Mr,Robert,Francis,www.westlodge.org.uk,,,168.0,Mr Robert Francis
101482,Merton Court School,303,Bexley,Other independent school,Not applicable,38 Knoll Road,,,Sidcup,Kent,DA14 4QU,2083002112.0,Mr,D,Price,www.mertoncourtprep.co.uk,,,310.0,Mr D Price
